country-year;population;generation
Finland2008;592016;Silent
Finland2008;342053;Generation X
Finland2008;145022;Silent
Finland2008;336624;Millenials
Finland2008;716879;Boomers
Finland2008;637681;Silent
Finland2008;324511;Generation X
Finland2008;322278;Millenials
Finland2008;270887;Silent
Finland2008;293500;Generation Z
Finland2008;306062;Generation Z
Finland2009;724700;Boomers
Finland2009;149329;Silent
Finland2009;348421;Generation X
Finland2009;604904;Silent
Finland2009;336510;Millenials
Finland2009;708103;Boomers
Finland2009;650862;Silent
Finland2009;330127;Generation X
Finland2009;322353;Millenials
Finland2009;273822;Silent
Finland2009;290188;Generation Z
Finland2009;302997;Generation Z
Finland2010;351262;Generation X
Finland2010;153947;Silent
Finland2010;719196;Generation X
Finland2010;616801;Silent
Finland2010;336807;Millenials
Finland2010;332711;Generation X
Finland2010;701523;Generation X
Finland2010;663064;Silent
Finland2010;322681;Millenials
Finland2010;277369;Silent
Finland2010;300513;Generation Z
Finland2010;287620;Generation Z
Finland2011;158719;Silent
Finland2011;715014;Generation X
Finland2011;628483;Boomers
Finland2011;352092;Millenials
Finland2011;337265;Millenials
Finland2011;674645;Boomers
Finland2011;696397;Generation X
Finland2011;322992;Millenials
Finland2011;333422;Millenials
Finland2011;280924;Silent
Finland2011;299347;Generation Z
Finland2011;286685;Generation Z
Finland2012;711920;Generation X
Finland2012;639345;Boomers
Finland2012;163645;Silent
Finland2012;352467;Millenials
Finland2012;337342;Millenials
Finland2012;685183;Boomers
Finland2012;323218;Millenials
Finland2012;692612;Generation X
Finland2012;333404;Millenials
Finland2012;284657;Silent
Finland2012;286874;Generation Z
Finland2012;299783;Generation Z
Finland2013;353828;Millenials
Finland2013;647538;Boomers
Finland2013;169485;Silent
Finland2013;710389;Generation X
Finland2013;335688;Millenials
Finland2013;690084;Generation X
Finland2013;693297;Boomers
Finland2013;321757;Millenials
Finland2013;334557;Millenials
Finland2013;289147;Silent
Finland2013;288186;Generation Z
Finland2013;301477;Generation Z
Finland2014;175827;Silent
Finland2014;356059;Millenials
Finland2014;708947;Generation X
Finland2014;654576;Boomers
Finland2014;332717;Millenials
Finland2014;336774;Millenials
Finland2014;687641;Generation X
Finland2014;700011;Boomers
Finland2014;318826;Millenials
Finland2014;294322;Silent
Finland2014;290448;Generation Z
Finland2014;303796;Generation Z
Finland2015;178936;Silent
Finland2015;704220;Generation X
Finland2015;357334;Millenials
Finland2015;665885;Boomers
Finland2015;332082;Millenials
Finland2015;337446;Millenials
Finland2015;682671;Generation X
Finland2015;711135;Boomers
Finland2015;295795;Silent
Finland2015;317937;Millenials
Finland2015;305748;Generation Z
Finland2015;292608;Generation Z
France1985;1263200;G.I. Generation
France1985;4471600;G.I. Generation
France1985;6799400;Silent
France1985;4240100;Boomers
France1985;2434600;G.I. Generation
France1985;5255800;G.I. Generation
France1985;4349200;Generation X
France1985;6652100;Silent
France1985;4213300;Boomers
France1985;4220700;Generation X
France1985;3837000;Generation X
France1985;3645600;Generation X
France1986;1207600;G.I. Generation
France1986;4450700;G.I. Generation
France1986;6825300;Silent
France1986;4231000;Boomers
France1986;2356000;G.I. Generation
France1986;5253800;G.I. Generation
France1986;6692000;Silent
France1986;4343700;Generation X
France1986;4218000;Boomers
France1986;4219700;Generation X
France1986;4020800;Generation X
France1986;3819000;Generation X
France1987;1314800;G.I. Generation
France1987;4576100;G.I. Generation
France1987;6973100;Silent
France1987;4211300;Boomers
France1987;2524500;G.I. Generation
France1987;5333200;G.I. Generation
France1987;6839200;Silent
France1987;4370700;Generation X
France1987;4214400;Boomers
France1987;4228600;Generation X
France1987;3752400;Generation X
France1987;3562500;Generation X
France1988;1348100;G.I. Generation
France1988;4614700;G.I. Generation
France1988;7066300;Silent
France1988;4219800;Boomers
France1988;2579800;G.I. Generation
France1988;5354800;G.I. Generation
France1988;6943200;Silent
France1988;4362100;Generation X
France1988;4229400;Boomers
France1988;4212400;Generation X
France1988;3707800;Generation X
France1988;3519200;Generation X
France1989;1376800;G.I. Generation
France1989;4663000;G.I. Generation
France1989;7163600;Silent
France1989;4238300;Boomers
France1989;2631300;G.I. Generation
France1989;5381700;G.I. Generation
France1989;4323100;Generation X
France1989;7049300;Silent
France1989;4242400;Boomers
France1989;4167800;Generation X
France1989;3684000;Generation X
France1989;3496600;Generation X
France1990;1360900;G.I. Generation
France1990;4746800;G.I. Generation
France1990;7267500;Silent
France1990;4289900;Boomers
France1990;2583600;G.I. Generation
France1990;5482800;G.I. Generation
France1990;4318400;Generation X
France1990;7178300;Silent
France1990;4308400;Boomers
France1990;4175200;Generation X
France1990;3705600;Generation X
France1990;3535500;Generation X
France1991;1318500;G.I. Generation
France1991;4856900;Silent
France1991;7380300;Boomers
France1991;4308800;Boomers
France1991;2521400;G.I. Generation
France1991;5609300;Silent
France1991;4254000;Generation X
France1991;7305800;Boomers
France1991;4320400;Boomers
France1991;4110000;Generation X
France1991;3734900;Millenials
France1991;3562600;Millenials
France1992;1285400;G.I. Generation
France1992;4952400;Silent
France1992;7502100;Boomers
France1992;4320300;Boomers
France1992;2470100;G.I. Generation
France1992;5720200;Silent
France1992;7441900;Boomers
France1992;4210800;Generation X
France1992;4320800;Boomers
France1992;4067600;Generation X
France1992;3751400;Millenials
France1992;3579300;Millenials
France1993;1265300;G.I. Generation
France1993;7621500;Boomers
France1993;5032900;Silent
France1993;4331900;Boomers
France1993;2434800;G.I. Generation
France1993;4162000;Generation X
France1993;5810700;Silent
France1993;7578600;Boomers
France1993;4324200;Boomers
France1993;4020100;Generation X
France1993;3767600;Millenials
France1993;3595800;Millenials
France1994;1262200;G.I. Generation
France1994;5097900;Silent
France1994;7746900;Boomers
France1994;4334000;Boomers
France1994;2421100;G.I. Generation
France1994;5881000;Silent
France1994;4113400;Generation X
France1994;7721300;Boomers
France1994;4321000;Boomers
France1994;3974200;Generation X
France1994;3772200;Millenials
France1994;3601900;Millenials
France1995;1339300;G.I. Generation
France1995;5066300;Silent
France1995;7887100;Boomers
France1995;4337200;Generation X
France1995;2517900;G.I. Generation
France1995;5819400;Silent
France1995;4081100;Generation X
France1995;7882500;Boomers
France1995;4319400;Generation X
France1995;3944400;Generation X
France1995;3751400;Millenials
France1995;3582500;Millenials
France1996;1406900;G.I. Generation
France1996;8040100;Boomers
France1996;5025600;Silent
France1996;4348700;Generation X
France1996;2604800;G.I. Generation
France1996;5746100;Silent
France1996;8060200;Boomers
France1996;4039700;Generation X
France1996;4324600;Generation X
France1996;3903000;Generation X
France1996;3729800;Millenials
France1996;3562100;Millenials
France1997;1466200;G.I. Generation
France1997;8161700;Boomers
France1997;5020300;Silent
France1997;4363600;Generation X
France1997;2681600;G.I. Generation
France1997;5708700;Silent
France1997;8206300;Boomers
France1997;3996500;Generation X
France1997;4330700;Generation X
France1997;3862400;Generation X
France1997;3706700;Millenials
France1997;3540800;Millenials
France1998;1427400;G.I. Generation
France1998;8206100;Boomers
France1998;4982000;Silent
France1998;4361300;Generation X
France1998;2621800;G.I. Generation
France1998;5678200;Silent
France1998;3962400;Generation X
France1998;8271100;Boomers
France1998;4325400;Generation X
France1998;3836900;Generation X
France1998;3891000;Millenials
France1998;3717100;Millenials
France1999;1477808;G.I. Generation
France1999;4960694;Silent
France1999;8248737;Boomers
France1999;4226264;Generation X
France1999;2704077;G.I. Generation
France1999;5655463;Silent
France1999;8372745;Boomers
France1999;3886319;Generation X
France1999;4244890;Generation X
France1999;3767655;Generation X
France1999;3836476;Millenials
France1999;3662265;Millenials
France2000;1531239;G.I. Generation
France2000;8355079;Boomers
France2000;4982015;Silent
France2000;4176771;Generation X
France2000;2775754;G.I. Generation
France2000;5646919;Silent
France2000;8501357;Boomers
France2000;3885375;Generation X
France2000;4188264;Generation X
France2000;3764091;Generation X
France2000;3817540;Millenials
France2000;3643220;Millenials
France2001;1585654;Silent
France2001;8409778;Boomers
France2001;5049336;Silent
France2001;4116558;Generation X
France2001;2849945;Silent
France2001;5685442;Silent
France2001;8577068;Boomers
France2001;3908716;Millenials
France2001;4118984;Generation X
France2001;3785067;Millenials
France2001;3799737;Millenials
France2001;3624987;Millenials
France2002;1639346;Silent
France2002;8426925;Boomers
France2002;5181628;Silent
France2002;4093371;Generation X
France2002;2925326;Silent
France2002;5793815;Silent
France2002;8616861;Boomers
France2002;3945027;Millenials
France2002;4087370;Generation X
France2002;3826195;Millenials
France2002;3788047;Millenials
France2002;3611606;Millenials
France2003;1693303;Silent
France2003;8430499;Boomers
France2003;5329819;Silent
France2003;4076309;Generation X
France2003;2996734;Silent
France2003;8639264;Boomers
France2003;5919087;Silent
France2003;3973756;Millenials
France2003;4060810;Generation X
France2003;3855507;Millenials
France2003;3781291;Millenials
France2003;3604023;Millenials
France2004;1750685;Silent
France2004;8436959;Boomers
France2004;5479461;Silent
France2004;4061640;Generation X
France2004;3076877;Silent
France2004;8660789;Boomers
France2004;6047298;Silent
France2004;3997101;Millenials
France2004;4035822;Generation X
France2004;3880131;Millenials
France2004;3782655;Millenials
France2004;3604504;Millenials
France2005;1808791;Silent
France2005;8428642;Boomers
France2005;5611154;Silent
France2005;4047608;Generation X
France2005;3160051;Silent
France2005;6158540;Silent
France2005;8661387;Boomers
France2005;3992606;Millenials
France2005;4015093;Generation X
France2005;3877610;Millenials
France2005;3789200;Millenials
France2005;3610005;Millenials
France2006;1873693;Silent
France2006;8448839;Boomers
France2006;5745824;Silent
France2006;3953119;Generation X
France2006;3282478;Silent
France2006;6363131;Silent
France2006;8713240;Boomers
France2006;4014107;Millenials
France2006;3997748;Generation X
France2006;3915675;Millenials
France2006;3850817;Millenials
France2006;3665776;Millenials
France2007;1932659;Silent
France2007;8475997;Boomers
France2007;5859657;Silent
France2007;3926679;Generation X
France2007;3367365;Silent
France2007;6461012;Silent
France2007;8736539;Boomers
France2007;3998872;Millenials
France2007;3971637;Generation X
France2007;3893480;Millenials
France2007;3864992;Generation Z
France2007;3678122;Generation Z
France2008;1985275;Silent
France2008;8513565;Boomers
France2008;5974431;Silent
France2008;3876451;Generation X
France2008;3430254;Silent
France2008;6570343;Silent
France2008;8762552;Boomers
France2008;3971604;Millenials
France2008;3934713;Generation X
France2008;3865331;Millenials
France2008;3893417;Generation Z
France2008;3705031;Generation Z
France2009;2035007;Silent
France2009;8526689;Boomers
France2009;6081994;Silent
France2009;3838456;Generation X
France2009;3487831;Silent
France2009;6675905;Silent
France2009;8763692;Boomers
France2009;3953357;Millenials
France2009;3905999;Generation X
France2009;3843704;Millenials
France2009;3922145;Generation Z
France2009;3735948;Generation Z
France2010;2081818;Silent
France2010;8518205;Generation X
France2010;6187723;Silent
France2010;3829316;Generation X
France2010;3538923;Silent
France2010;6785286;Silent
France2010;8736585;Generation X
France2010;3937209;Millenials
France2010;3906931;Generation X
France2010;3823806;Millenials
France2010;3947453;Generation Z
France2010;3763028;Generation Z
France2011;2127014;Silent
France2011;8492211;Generation X
France2011;6298402;Boomers
France2011;3844358;Millenials
France2011;3588632;Silent
France2011;6902929;Boomers
France2011;8695673;Generation X
France2011;3914976;Millenials
France2011;3930109;Millenials
France2011;3794959;Millenials
France2011;3969371;Generation Z
France2011;3786009;Generation Z
France2012;2168819;Silent
France2012;8465545;Generation X
France2012;6408537;Boomers
France2012;3856840;Millenials
France2012;3626173;Silent
France2012;7023009;Boomers
France2012;8655592;Generation X
France2012;3900107;Millenials
France2012;3948305;Millenials
France2012;3776265;Millenials
France2012;3995444;Generation Z
France2012;3813821;Generation Z
France2013;2201053;Silent
France2013;8444516;Generation X
France2013;6526578;Boomers
France2013;3873724;Millenials
France2013;3642541;Silent
France2013;7157766;Boomers
France2013;8632938;Generation X
France2013;3849077;Millenials
France2013;3972053;Millenials
France2013;3728182;Millenials
France2013;4032157;Generation Z
France2013;3849484;Generation Z
France2014;2243922;Silent
France2014;8426009;Generation X
France2014;6655516;Boomers
France2014;3877350;Millenials
France2014;3677450;Silent
France2014;7300857;Boomers
France2014;8608404;Generation X
France2014;3841223;Millenials
France2014;3985618;Millenials
France2014;3711936;Millenials
France2014;4069116;Generation Z
France2014;3878553;Generation Z
Georgia1990;62200;G.I. Generation
Georgia1990;377250;G.I. Generation
Georgia1990;616350;Silent
Georgia1990;136200;G.I. Generation
Georgia1990;422400;Boomers
Georgia1990;424000;Generation X
Georgia1990;525250;G.I. Generation
Georgia1990;682450;Silent
Georgia1990;415850;Generation X
Georgia1990;451450;Boomers
Georgia1990;428500;Generation X
Georgia1990;444500;Generation X
Georgia1991;62950;G.I. Generation
Georgia1991;382950;Silent
Georgia1991;626000;Boomers
Georgia1991;138300;G.I. Generation
Georgia1991;418850;Boomers
Georgia1991;530000;Silent
Georgia1991;425700;Generation X
Georgia1991;695100;Boomers
Georgia1991;418300;Generation X
Georgia1991;447700;Boomers
Georgia1991;428250;Millenials
Georgia1991;444450;Millenials
Georgia1992;63000;G.I. Generation
Georgia1992;383700;Silent
Georgia1992;628000;Boomers
Georgia1992;410250;Boomers
Georgia1992;138750;G.I. Generation
Georgia1992;422250;Generation X
Georgia1992;528300;Silent
Georgia1992;415550;Generation X
Georgia1992;699000;Boomers
Georgia1992;438250;Boomers
Georgia1992;422700;Millenials
Georgia1992;438950;Millenials
Georgia1994;370200;Silent
Georgia1994;127950;G.I. Generation
Georgia1994;57750;G.I. Generation
Georgia1994;380700;Generation X
Georgia1994;561650;Boomers
Georgia1994;360400;Boomers
Georgia1994;498750;Silent
Georgia1994;630750;Boomers
Georgia1994;376100;Generation X
Georgia1994;384600;Boomers
Georgia1994;377700;Millenials
Georgia1994;392350;Millenials
Georgia1995;346850;Silent
Georgia1995;56650;G.I. Generation
Georgia1995;570450;Boomers
Georgia1995;346300;Generation X
Georgia1995;370700;Generation X
Georgia1995;470750;Silent
Georgia1995;126000;G.I. Generation
Georgia1995;640250;Boomers
Georgia1995;366950;Generation X
Georgia1995;369450;Generation X
Georgia1995;380400;Millenials
Georgia1995;366100;Millenials
Georgia1996;55600;G.I. Generation
Georgia1996;341550;Silent
Georgia1996;124250;G.I. Generation
Georgia1996;562200;Boomers
Georgia1996;333150;Generation X
Georgia1996;461300;Silent
Georgia1996;361400;Generation X
Georgia1996;355300;Generation X
Georgia1996;358400;Generation X
Georgia1996;632650;Boomers
Georgia1996;369200;Millenials
Georgia1996;355350;Millenials
Georgia1997;55000;G.I. Generation
Georgia1997;338550;Silent
Georgia1997;322550;Generation X
Georgia1997;557750;Boomers
Georgia1997;354700;Generation X
Georgia1997;123300;G.I. Generation
Georgia1997;455100;Silent
Georgia1997;629400;Boomers
Georgia1997;352400;Generation X
Georgia1997;360800;Millenials
Georgia1997;343900;Generation X
Georgia1997;347150;Millenials
Georgia1998;338600;Silent
Georgia1998;54900;G.I. Generation
Georgia1998;558300;Boomers
Georgia1998;351300;Generation X
Georgia1998;315050;Generation X
Georgia1998;123400;G.I. Generation
Georgia1998;335700;Generation X
Georgia1998;452900;Silent
Georgia1998;631600;Boomers
Georgia1998;349600;Generation X
Georgia1998;342150;Millenials
Georgia1998;355750;Millenials
Georgia1999;54950;G.I. Generation
Georgia1999;339400;Silent
Georgia1999;308400;Generation X
Georgia1999;560050;Boomers
Georgia1999;123800;G.I. Generation
Georgia1999;451750;Silent
Georgia1999;348700;Generation X
Georgia1999;347650;Generation X
Georgia1999;635050;Boomers
Georgia1999;328400;Generation X
Georgia1999;338050;Millenials
Georgia1999;351550;Millenials
Georgia2000;54950;G.I. Generation
Georgia2000;340050;Silent
Georgia2000;561550;Boomers
Georgia2000;301800;Generation X
Georgia2000;124150;G.I. Generation
Georgia2000;450650;Silent
Georgia2000;346050;Generation X
Georgia2000;638350;Boomers
Georgia2000;321150;Generation X
Georgia2000;345650;Generation X
Georgia2000;333900;Millenials
Georgia2000;347350;Millenials
Georgia2001;339150;Silent
Georgia2001;55300;Silent
Georgia2001;124400;Silent
Georgia2001;560300;Boomers
Georgia2001;297450;Generation X
Georgia2001;448550;Silent
Georgia2001;343550;Millenials
Georgia2001;637700;Boomers
Georgia2001;316400;Generation X
Georgia2001;330600;Millenials
Georgia2001;343450;Millenials
Georgia2001;344100;Millenials
Georgia2004;68300;Silent
Georgia2004;554550;Boomers
Georgia2004;296000;Generation X
Georgia2004;329400;Silent
Georgia2004;349250;Millenials
Georgia2004;139900;Silent
Georgia2004;436650;Silent
Georgia2004;314250;Generation X
Georgia2004;316700;Millenials
Georgia2004;346000;Millenials
Georgia2004;638600;Boomers
Georgia2004;300250;Millenials
Georgia2005;73700;Silent
Georgia2005;565100;Boomers
Georgia2005;331700;Silent
Georgia2005;305450;Generation X
Georgia2005;319300;Generation X
Georgia2005;358200;Millenials
Georgia2005;147450;Silent
Georgia2005;439250;Silent
Georgia2005;352750;Millenials
Georgia2005;305450;Millenials
Georgia2005;646500;Boomers
Georgia2005;287150;Millenials
Georgia2006;79200;Silent
Georgia2006;335050;Silent
Georgia2006;313300;Generation X
Georgia2006;574450;Boomers
Georgia2006;366350;Millenials
Georgia2006;155050;Silent
Georgia2006;443850;Silent
Georgia2006;323850;Generation X
Georgia2006;271600;Millenials
Georgia2006;291400;Millenials
Georgia2006;359100;Millenials
Georgia2006;653300;Boomers
Georgia2007;83450;Silent
Georgia2007;337200;Silent
Georgia2007;573900;Boomers
Georgia2007;315700;Generation X
Georgia2007;161000;Silent
Georgia2007;367900;Millenials
Georgia2007;447350;Silent
Georgia2007;651500;Boomers
Georgia2007;323950;Generation X
Georgia2007;359400;Millenials
Georgia2007;255950;Generation Z
Georgia2007;277600;Generation Z
Georgia2009;90600;Silent
Georgia2009;343050;Silent
Georgia2009;579150;Boomers
Georgia2009;324500;Generation X
Georgia2009;172650;Silent
Georgia2009;360500;Millenials
Georgia2009;456000;Silent
Georgia2009;350000;Millenials
Georgia2009;262650;Generation Z
Georgia2009;652950;Boomers
Georgia2009;328450;Generation X
Georgia2009;238250;Generation Z
Georgia2010;350500;Silent
Georgia2010;96900;Silent
Georgia2010;590800;Generation X
Georgia2010;337200;Generation X
Georgia2010;351600;Millenials
Georgia2010;180900;Silent
Georgia2010;465100;Silent
Georgia2010;660000;Generation X
Georgia2010;254800;Generation Z
Georgia2010;338800;Millenials
Georgia2010;338000;Generation X
Georgia2010;229200;Generation Z
Georgia2011;99100;Silent
Georgia2011;352600;Boomers
Georgia2011;593700;Generation X
Georgia2011;348400;Millenials
Georgia2011;341000;Millenials
Georgia2011;661400;Generation X
Georgia2011;467400;Boomers
Georgia2011;340800;Millenials
Georgia2011;184100;Silent
Georgia2011;226900;Generation Z
Georgia2011;334600;Millenials
Georgia2011;252600;Generation Z
Georgia2012;104500;Silent
Georgia2012;355000;Boomers
Georgia2012;345900;Millenials
Georgia2012;596400;Generation X
Georgia2012;337800;Millenials
Georgia2012;191900;Silent
Georgia2012;324000;Millenials
Georgia2012;469400;Boomers
Georgia2012;659300;Generation X
Georgia2012;223200;Generation Z
Georgia2012;344400;Millenials
Georgia2012;249100;Generation Z
Georgia2013;109700;Silent
Georgia2013;358600;Boomers
Georgia2013;594900;Generation X
Georgia2013;348000;Millenials
Georgia2013;325300;Millenials
Georgia2013;201000;Silent
Georgia2013;471700;Boomers
Georgia2013;655700;Generation X
Georgia2013;249800;Generation Z
Georgia2013;310500;Millenials
Georgia2013;221800;Generation Z
Georgia2013;345600;Millenials
Georgia2014;92600;Silent
Georgia2014;298900;Boomers
Georgia2014;491300;Generation X
Georgia2014;392200;Boomers
Georgia2014;264500;Millenials
Georgia2014;288500;Millenials
Georgia2014;169900;Silent
Georgia2014;251400;Millenials
Georgia2014;286500;Millenials
Georgia2014;542700;Generation X
Georgia2014;183700;Generation Z
Georgia2014;208400;Generation Z
Georgia2015;87600;Silent
Georgia2015;166300;Silent
Georgia2015;320200;Boomers
Georgia2015;480200;Generation X
Georgia2015;271700;Millenials
Georgia2015;247800;Millenials
Georgia2015;420700;Boomers
Georgia2015;272100;Millenials
Georgia2015;517700;Generation X
Georgia2015;230200;Millenials
Georgia2015;234300;Generation Z
Georgia2015;209600;Generation Z
Germany1990;1717700;G.I. Generation
Germany1990;6593100;G.I. Generation
Germany1990;11127100;Silent
Germany1990;3978800;G.I. Generation
Germany1990;6721200;Boomers
Germany1990;8537700;G.I. Generation
Germany1990;5565400;Generation X
Germany1990;10742900;Silent
Germany1990;6328000;Boomers
Germany1990;5288600;Generation X
Germany1990;4290400;Generation X
Germany1990;4067900;Generation X
Germany1991;1660100;G.I. Generation
Germany1991;6843000;Silent
Germany1991;11178200;Boomers
Germany1991;3906500;G.I. Generation
Germany1991;6923800;Boomers
Germany1991;8711800;Silent
Germany1991;5374900;Generation X
Germany1991;10784200;Boomers
Germany1991;6488800;Boomers
Germany1991;5100000;Generation X
Germany1991;4374100;Millenials
Germany1991;4150500;Millenials
Germany1992;1587600;G.I. Generation
Germany1992;7149100;Silent
Germany1992;3796100;G.I. Generation
Germany1992;11253500;Boomers
Germany1992;7109900;Boomers
Germany1992;8957600;Silent
Germany1992;5203300;Generation X
Germany1992;10830700;Boomers
Germany1992;6626000;Boomers
Germany1992;4914400;Generation X
Germany1992;4466700;Millenials
Germany1992;4236800;Millenials
Germany1993;1519500;G.I. Generation
Germany1993;7481800;Silent
Germany1993;11313100;Boomers
Germany1993;3684600;G.I. Generation
Germany1993;7256700;Boomers
Germany1993;9235200;Silent
Germany1993;5047700;Generation X
Germany1993;10876700;Boomers
Germany1993;6736600;Boomers
Germany1993;4748600;Generation X
Germany1993;4564700;Millenials
Germany1993;4328200;Millenials
Germany1994;1482300;G.I. Generation
Germany1994;7799100;Silent
Germany1994;11313100;Boomers
Germany1994;3631600;G.I. Generation
Germany1994;7293700;Boomers
Germany1994;4865000;Generation X
Germany1994;9477200;Silent
Germany1994;10893100;Boomers
Germany1994;6777700;Boomers
Germany1994;4591200;Generation X
Germany1994;4637800;Millenials
Germany1994;4401600;Millenials
Germany1995;1506200;G.I. Generation
Germany1995;8085300;Silent
Germany1995;11336900;Boomers
Germany1995;3692800;G.I. Generation
Germany1995;7257600;Generation X
Germany1995;4738700;Generation X
Germany1995;9630800;Silent
Germany1995;10912900;Boomers
Germany1995;6749100;Generation X
Germany1995;4487000;Generation X
Germany1995;4695200;Millenials
Germany1995;4455000;Millenials
Germany1996;1557200;G.I. Generation
Germany1996;8320900;Silent
Germany1996;11396300;Boomers
Germany1996;3802500;G.I. Generation
Germany1996;7162600;Generation X
Germany1996;9712700;Silent
Germany1996;4670600;Generation X
Germany1996;10969800;Boomers
Germany1996;6663000;Generation X
Germany1996;4430800;Generation X
Germany1996;4720200;Millenials
Germany1996;4475900;Millenials
Germany1997;1608200;G.I. Generation
Germany1997;8485700;Silent
Germany1997;11528000;Boomers
Germany1997;3905400;G.I. Generation
Germany1997;6985900;Generation X
Germany1997;4633400;Generation X
Germany1997;9736500;Silent
Germany1997;11111600;Boomers
Germany1997;6510000;Generation X
Germany1997;4408500;Generation X
Germany1997;4703100;Millenials
Germany1997;4451600;Millenials
Germany1998;1648000;G.I. Generation
Germany1998;8601300;Silent
Germany1998;11704700;Boomers
Germany1998;6712100;Generation X
Germany1998;3977300;G.I. Generation
Germany1998;4635800;Generation X
Germany1998;9724400;Silent
Germany1998;11290200;Boomers
Germany1998;6286800;Generation X
Germany1998;4413700;Generation X
Germany1998;4658200;Millenials
Germany1998;4418600;Millenials
Germany1999;1684700;G.I. Generation
Germany1999;8721900;Silent
Germany1999;11918600;Boomers
Germany1999;4045200;G.I. Generation
Germany1999;6411800;Generation X
Germany1999;4669200;Generation X
Germany1999;9734700;Silent
Germany1999;11487800;Boomers
Germany1999;6028800;Generation X
Germany1999;4447600;Generation X
Germany1999;4615600;Millenials
Germany1999;4375300;Millenials
Germany2000;1738251;G.I. Generation
Germany2000;8760853;Silent
Germany2000;12201076;Boomers
Germany2000;4115856;G.I. Generation
Germany2000;6118772;Generation X
Germany2000;4709057;Generation X
Germany2000;9663487;Silent
Germany2000;11760414;Boomers
Germany2000;5783411;Generation X
Germany2000;4500217;Generation X
Germany2000;4562649;Millenials
Germany2000;4328023;Millenials
Germany2001;1813475;Silent
Germany2001;8745869;Silent
Germany2001;12523074;Boomers
Germany2001;4192492;Silent
Germany2001;5850255;Generation X
Germany2001;4764237;Millenials
Germany2001;9568028;Silent
Germany2001;12069849;Boomers
Germany2001;5552605;Generation X
Germany2001;4561925;Millenials
Germany2001;4505958;Millenials
Germany2001;4273747;Millenials
Germany2002;1898834;Silent
Germany2002;8766453;Silent
Germany2002;12777078;Boomers
Germany2002;4251053;Silent
Germany2002;5614445;Generation X
Germany2002;4828748;Millenials
Germany2002;9531566;Silent
Germany2002;12321464;Boomers
Germany2002;5348715;Generation X
Germany2002;4626561;Millenials
Germany2002;4448685;Millenials
Germany2002;4220169;Millenials
Germany2003;2000255;Silent
Germany2003;8804362;Silent
Germany2003;12961625;Boomers
Germany2003;4301218;Silent
Germany2003;5393875;Generation X
Germany2003;4883892;Millenials
Germany2003;9534506;Silent
Germany2003;12507791;Boomers
Germany2003;5161703;Generation X
Germany2003;4683375;Millenials
Germany2003;4373618;Millenials
Germany2003;4150241;Millenials
Germany2004;2112661;Silent
Germany2004;8860469;Silent
Germany2004;13080225;Boomers
Germany2004;4360252;Silent
Germany2004;5196875;Generation X
Germany2004;4922745;Millenials
Germany2004;9568085;Silent
Germany2004;12631907;Boomers
Germany2004;5000272;Generation X
Germany2004;4726195;Millenials
Germany2004;4285546;Millenials
Germany2004;4066582;Millenials
Germany2005;2225555;Silent
Germany2005;8943091;Silent
Germany2005;13137730;Boomers
Germany2005;4422784;Silent
Germany2005;5056621;Generation X
Germany2005;9632657;Silent
Germany2005;4939294;Millenials
Germany2005;12685901;Boomers
Germany2005;4889216;Generation X
Germany2005;4744626;Millenials
Germany2005;4194004;Millenials
Germany2005;3979775;Millenials
Germany2006;2328668;Silent
Germany2006;9032770;Silent
Germany2006;13148811;Boomers
Germany2006;4471494;Silent
Germany2006;4963413;Generation X
Germany2006;4922196;Millenials
Germany2006;9713785;Silent
Germany2006;12694086;Boomers
Germany2006;4819150;Generation X
Germany2006;4727172;Millenials
Germany2006;4107557;Millenials
Germany2006;3899892;Millenials
Germany2007;2417463;Silent
Germany2007;9135373;Silent
Germany2007;13116847;Boomers
Germany2007;4913538;Generation X
Germany2007;4503136;Silent
Germany2007;4875778;Millenials
Germany2007;9816096;Silent
Germany2007;12662132;Boomers
Germany2007;4782312;Generation X
Germany2007;4678848;Millenials
Germany2007;4039955;Generation Z
Germany2007;3835107;Generation Z
Germany2008;2496685;Silent
Germany2008;9240436;Silent
Germany2008;13021164;Boomers
Germany2008;4521561;Silent
Germany2008;4906502;Generation X
Germany2008;4821264;Millenials
Germany2008;9926040;Silent
Germany2008;12574802;Boomers
Germany2008;4780395;Generation X
Germany2008;4619410;Millenials
Germany2008;3978422;Generation Z
Germany2008;3776108;Generation Z
Germany2009;2599960;Silent
Germany2009;9307706;Silent
Germany2009;12872657;Boomers
Germany2009;4909814;Generation X
Germany2009;4569198;Silent
Germany2009;4760066;Millenials
Germany2009;9995593;Silent
Germany2009;12445519;Boomers
Germany2009;4784538;Generation X
Germany2009;4552176;Millenials
Germany2009;3925018;Generation Z
Germany2009;3726357;Generation Z
Germany2010;2742959;Silent
Germany2010;9350157;Silent
Germany2010;12731842;Generation X
Germany2010;4940288;Generation X
Germany2010;4669323;Silent
Germany2010;4702588;Millenials
Germany2010;10027136;Silent
Germany2010;12316695;Generation X
Germany2010;4807946;Generation X
Germany2010;4489057;Millenials
Germany2010;3883512;Generation Z
Germany2010;3687564;Generation Z
Germany2011;2900218;Silent
Germany2011;9396062;Boomers
Germany2011;12614051;Generation X
Germany2011;5006064;Millenials
Germany2011;4791265;Silent
Germany2011;4653810;Millenials
Germany2011;10049757;Boomers
Germany2011;12196847;Generation X
Germany2011;4854346;Millenials
